# Group central  sfr_inst     Mstar        MHI         MH2
    81       1     0.0000    3.3542e+11   2.2607e+09   4.9226e+07
    82       0     0.2186    3.3253e+11   4.6364e+08   1.0369e+09
    83       1    11.5698    2.9805e+11   4.8798e+09   2.5758e+10
    84       1     0.0000    3.2552e+11   9.0408e+09   4.9682e+08
    85       1     0.0000    3.2082e+11   1.0672e+09   1.3130e+08
    86       1     0.0000    3.1890e+11   2.4796e+09   3.0470e+08
    87       1     0.0000    3.1777e+11   2.1731e+09   2.3390e+08
    88       1     0.0000    3.1725e+11   1.7386e+09   1.7687e+08
    89       1     0.0000    3.1580e+11   3.1799e+09   1.9298e+08
    90       1     0.0000    3.1088e+11   2.1457e+09   2.3226e+08
    91       1     0.0000    3.1039e+11   1.2286e+09   2.7230e+08
    92       1     0.0000    3.0962e+11   1.6219e+09   6.6843e+07
    93       1     0.0000    3.1311e+11   1.2327e+09   1.6771e+08
    94       1     0.0000    3.1083e+11   1.7973e+09   1.2184e+08
    95       1     0.0000    3.0945e+11   7.4622e+08   8.0363e+06
    96       1     0.0000    3.0744e+11   2.7467e+09   1.2401e+08
    97       1    11.1110    2.9638e+11   5.2912e+09   1.3307e+10
    98       1     0.0000    3.0500e+11   2.2576e+09   3.9113e+08
    99       1     0.0000    3.0085e+11   8.7955e+08   3.4557e+08
    100       1     0.0000    3.0549e+11   5.2172e+09   3.3183e+08
    101       1     5.2053    2.8977e+11   8.8529e+09   2.3236e+10
    102       1     0.0000    3.0631e+11   8.7878e+09   4.3419e+08
    103       1     0.0000    3.0257e+11   8.1114e+08   8.5511e+07
    104       1    10.2205    2.8254e+11   8.4950e+09   2.5872e+10
    105       1    11.4980    2.6901e+11   6.8954e+09   3.4113e+10
    106       1     0.0000    2.9319e+11   8.3630e+08   1.2577e+08
    107       1     0.0000    2.8807e+11   1.6769e+09   2.8301e+08
    108       1     0.0000    2.9548e+11   1.4514e+09   9.6643e+06
    109       1     0.0000    2.8669e+11   3.6618e+09   3.2147e+08
    110       1     0.0000    2.8475e+11   2.1787e+09   2.4635e+07
    111       1     0.0000    2.7882e+11   3.3803e+08   3.7176e+07
    112       1     0.0000    2.8089e+11   1.8138e+09   3.1264e+08
    113       1     0.0000    2.7765e+11   4.5985e+09   7.1745e+08
    114       1     0.0000    2.7969e+11   6.1340e+09   1.7080e+08
    115       1     0.0000    2.7796e+11   4.6588e+09   2.4848e+08
    116       0     0.0000    2.7461e+11   1.3119e+09   4.0914e+08
    117       1     0.0000    2.7864e+11   3.9170e+09   4.0514e+08
    118       1     0.0000    2.7106e+11   7.3473e+08   1.5966e+08
    119       1     0.0000    2.7856e+11   9.0348e+08   1.1041e+08
    120       0     0.0000    2.7183e+11   1.7877e+08   0.0000e+00
    121       1     2.6775    2.6886e+11   3.3787e+09   1.2148e+10
    122       1     0.0000    2.7343e+11   7.0097e+09   4.8708e+08
    123       1     0.0000    2.7438e+11   2.8673e+09   1.9526e+08
    124       0     0.0000    2.5705e+11   0.0000e+00   0.0000e+00
    125       0     0.0324    2.6514e+11   2.3246e+09   7.9068e+08
    126       1     0.0000    2.6841e+11   1.6508e+08   0.0000e+00
    127       1     0.0000    2.7184e+11   1.4339e+09   1.5314e+08
    128       1     0.0000    2.5833e+11   3.3345e+09   8.0460e+07
    129       1     0.0000    2.6974e+11   6.4533e+09   3.7011e+08
    130       1     0.0000    2.6177e+11   1.4554e+09   1.0496e+08
    131       1     0.0000    2.6776e+11   1.4212e+09   9.7060e+06
    132       1     0.0000    2.6315e+11   7.1925e+09   3.6886e+08
    133       1     0.0000    2.6720e+11   8.9065e+08   8.5018e+07
    134       1    10.6122    2.1220e+11   2.0670e+10   4.3635e+10
    135       1     0.0000    2.6159e+11   3.0191e+09   3.5994e+08
    136       0     0.0000    2.6290e+11   5.1966e+09   7.3201e+08
    137       1     0.0000    2.5711e+11   1.8680e+09   2.7436e+08
    138       1     0.0000    2.5522e+11   4.3328e+09   4.3656e+08
