name       ra       dec 
GASS108142  124.81608  19.31324
GASS108050  124.832451  21.058851
GASS108114  124.8512  21.00356
GASS108072  124.8838  21.3943
GASS108058  125.36168  24.45309
GASS108097  125.50794  4.39257
GASS108055  125.51504  8.75261
GASS108053  125.55656  4.1977
GASS108006  125.60803  4.16325
GASS108024  126.01764  21.01188
GASS108061  126.10763  4.24768
GASS108064  126.530991  21.456709
GASS108101  126.75582  21.70678
GASS51899  127.88135  19.37455
GASS108026  128.01459  24.01092
GASS108016  128.48607  26.97266
GASS108088  128.57249  14.54792
GASS108093  128.87576  23.67621
GASS16479  129.52283  4.328398
GASS52045  129.6518  17.6359
GASS19918  129.69577  7.48071
GASS32308  129.8935  25.47711
GASS108140  129.92358  27.72563
GASS108148  130.71951  25.07041
GASS108094  130.73494  13.64159
GASS108133  130.77768  26.80588
GASS56486  131.36922  14.57379
GASS56509  132.68866  11.81083
GASS8096  133.22914  3.15234
GASS19989  133.6068  8.21139
GASS108021  133.82808  27.34616
GASS108051  134.01659  13.42203
GASS108017  134.21394  27.2701
GASS52297  134.35014  20.71053
GASS108054  134.95438  5.06085
GASS19949  135.0461  7.7261
GASS16695  135.31519  4.1181
GASS25752  135.35239  10.20017
GASS109129  135.37704  12.66212
GASS109023  135.42056  11.08298
GASS109123  135.67262  13.10781
GASS56662  135.72888  13.6607
GASS56612  135.78226  13.69707
GASS56650  135.78418  13.51777
GASS109038  135.81877  18.26108
GASS109101  136.02025  22.06158
GASS56632  136.15446  13.55411
GASS109022  136.16386  18.25737
GASS16655  136.16478  5.51205
GASS109014  136.32642  18.4422
GASS20026  136.54233  8.39539
GASS109083  137.02248  8.51067
GASS109018  137.34393  15.61366
GASS109066  137.34865  22.51394
GASS109009  137.46725  9.79363
GASS109060  137.77322  9.34956
GASS109134  138.30708  11.77132
GASS20041  138.61545  8.07943
GASS20042  138.6836  8.60147
GASS109139  139.1658  7.26638
GASS109076  139.19835  9.89132
GASS109021  139.24162  6.71509
GASS16756  139.32364  6.69766
GASS16753  139.61848  6.33437
GASS16815  139.63062  6.87317
GASS25851  139.66711  10.58796
GASS109036  139.66927  13.82949
GASS109039  139.73145  14.30488
GASS14712  139.74193  5.8884
GASS19672  139.87297  34.30286
GASS14727  139.88799  5.88276
GASS25844  139.99895  10.10883
GASS109057  140.06505  1.28882
GASS109074  140.13416  7.07407
GASS109099  140.13867  0.72104
GASS109102  140.31439  3.15109
GASS109116  140.5896  4.06126
GASS57017  140.622  14.46205
GASS109020  141.0607  11.1106
GASS109045  141.31427  10.88673
GASS109031  141.31618  11.59688
GASS109090  141.35345  11.07377
GASS33019  141.39069  27.34747
GASS109089  141.4472  11.42458
GASS109064  141.45207  11.45424
GASS32937  141.78365  29.4023
GASS109028  141.87004  3.9296
GASS109059  142.37981  23.89358
GASS109082  142.38715  13.1928
GASS32907  142.53828  28.8976
GASS109118  142.75375  6.56257
GASS53269  142.8167  26.54989
GASS16841  142.90205  6.95239
GASS109127  143.0033  12.26181
GASS20165  143.1332  9.8326
GASS20133  143.15244  9.84054
GASS109010  143.51132  9.4792
GASS109126  143.74614  25.82568
GASS20144  143.7584  9.92012
GASS109005  143.77419  9.64923
GASS33214  144.1012  32.07933
GASS109103  144.16974  2.70355
GASS20149  144.19907  10.09755
GASS109070  144.25969  9.54001
GASS55745  144.292  16.97721
GASS109092  144.51099  27.65657
GASS109097  144.64355  8.8879
GASS8347  144.74374  4.16128
GASS14784  144.84697  6.40167
GASS55711  144.9673  16.917933
GASS8349  144.97343  3.81395
GASS109072  145.13263  28.96933
GASS109073  145.87419  9.42079
GASS109108  146.08095  9.98479
GASS109011  146.39772  4.41059
GASS109122  146.59425  9.16523
GASS109100  146.62926  15.88632
GASS109006  146.925583  9.161055
GASS109065  146.96548  8.83079
GASS109075  147.14378  14.89909
GASS109128  147.35785  14.65742
GASS26056  147.53003  12.74613
GASS33469  147.539  33.56933
GASS18702  147.71494  8.22798
GASS109077  147.82651  9.13923
GASS109120  147.86574  7.26371
GASS22822  147.93713  35.62213
GASS18707  147.95892  8.37052
GASS109058  148.01584  19.65112
GASS109109  148.168869  25.089537
GASS20305  148.18275  10.00029
GASS18673  148.25748  7.46012
GASS18686  148.26093  7.84149
GASS18681  148.35237  7.8323
GASS26040  148.40462  12.12926
GASS20292  148.45512  9.19379
GASS109106  148.46454  13.61511
GASS20371  148.50928  10.60824
GASS20376  148.57011  10.58265
GASS20445  148.6235  10.59171
GASS20286  148.66438  9.44464
GASS109080  148.69238  13.37475
GASS109094  148.94292  3.4048
GASS26017  149.17426  11.19574
GASS109081  149.17703  15.63648
GASS109079  149.2515  15.55566
GASS20448  149.55249  11.10987
GASS109035  149.6003  10.36286
GASS109034  149.61819  11.30256
GASS109135  149.62732  10.183
GASS109050  149.65096  13.25528
GASS33737  149.71388  32.07308
GASS109088  149.72221  15.37995
GASS109132  149.74828  10.37889
GASS26151  149.78651  13.05936
GASS18755  150.23817  7.62869
GASS110010  150.26404  4.61927
GASS14863  150.39275  6.93203
GASS5035  150.46954  3.01132
GASS110038  150.56787  19.21566
GASS33777  150.71149  32.64451
GASS110082  151.19861  5.3686
GASS14831  151.37611  5.67207
GASS18830  152.75285  8.9891
GASS8634  153.35175  5.02548
GASS18798  153.3736  7.90433
GASS110036  153.78479  5.24334
GASS14943  154.00085  6.25145
GASS26221  154.15997  12.57738
GASS110013  154.30299  13.19205
GASS110069  154.56371  7.03885
GASS110058  154.5799  13.23126
GASS110037  154.58221  7.04933
GASS110080  154.65547  3.26361
GASS110068  154.65862  13.22656
GASS26368  154.92207  12.84298
GASS18900  155.00674  8.5149
GASS110047  155.01527  25.57174
GASS18875  155.01762  7.77282
GASS18877  155.10483  7.67717
GASS18872  155.16524  7.85942
GASS110060  155.21745  25.56528
GASS18887  155.23145  8.31375
GASS26407  155.41194  13.31267
GASS26406  155.45718  13.44712
GASS110056  155.4774  11.46552
GASS54233  155.49084  24.65521
GASS110004  155.51381  13.7695
GASS8724  155.62996  4.58243
GASS26320  155.66132  12.0883
GASS18862  155.67169  8.33424
GASS54240  155.7233  24.60641
