#GASS_ID   SDSS_OBJID   RA   DEC   z   SURVEY_ID    RA   DEC   z   GROUP_ID
GASS3524 1237649920041287833 19.32 14.62 0.038 0 0.0 0.0 0.0 0
GASS3519 1237649920041287865 19.37 14.70 0.043 0 0.0 0.0 0.0 0
GASS3505 1237649918430740640 19.44 13.32 0.048 0 0.0 0.0 0.0 0
GASS3666 1237649921115095245 19.51 15.54 0.038 0 0.0 0.0 0.0 0
GASS3504 1237653650769510570 19.60 13.62 0.038 0 0.0 0.0 0.0 0
GASS3508 1237649920041484373 19.75 14.61 0.036 0 0.0 0.0 0.0 0
GASS101007 1237679167157239965 20.29 15.69 0.017 0 0.0 0.0 0.0 0
GASS101004 1237649920041746583 20.38 14.50 0.014 0 0.0 0.0 0.0 0
GASS3773 1237649954403844196 20.47 14.90 0.036 0 0.0 0.0 0.0 0
GASS3757 1237653653454258259 20.62 15.54 0.038 0 0.0 0.0 0.0 0
GASS3777 1237649920041943052 20.82 14.66 0.040 0 0.0 0.0 0.0 0
GASS101034 1237649919505268858 21.23 14.22 0.020 0 0.0 0.0 0.0 0
GASS27260 1237649920042139771 21.35 14.52 0.037 0 0.0 0.0 0.0 0
GASS27260 1237649920042139771 21.35 14.52 0.037 0 0.0 0.0 0.0 0
GASS27260 1237649920042139771 21.35 14.52 0.037 0 0.0 0.0 0.0 0
GASS3792 1237649954404630678 22.18 14.61 0.036 0 0.0 0.0 0.0 0
GASS27250 1237653650770821212 22.53 13.28 0.038 0 0.0 0.0 0.0 0
GASS27250 1237653650770821212 22.53 13.28 0.038 0 0.0 0.0 0.0 0
GASS27284 1237679167158419633 23.02 15.50 0.044 0 0.0 0.0 0.0 0
GASS27284 1237679167158419633 23.02 15.50 0.044 0 0.0 0.0 0.0 0
GASS101037 1237663784208105545 24.40  0.04 0.016 0 0.0 0.0 0.0 0
GASS3851 1237649921117323417 24.72 15.05 0.028 0 0.0 0.0 0.0 0
GASS3854 1237649921117323295 24.73 15.02 0.028 0 0.0 0.0 0.0 0
GASS3859 1237653652919156841 24.76 14.97 0.028 0 0.0 0.0 0.0 0
