2227897  195.043  195.149  27.595  27.574  0.0187  0.0170  1  412109
2243614  195.077  195.069  27.816  27.968  0.0179  0.0155  1  416541
2243612  195.078  195.069  27.937  27.968  0.0176  0.0155  1  416541
2242705  195.080  195.149  27.554  27.574  0.0196  0.0170  1  412109
2243631  195.288  195.189  27.818  27.835  0.0197  0.0293  1  416544
2243633  195.307  195.229  27.914  28.007  0.0195  0.0166  1  17266
2229559  195.645  195.590  27.949  28.231  0.0193  0.0186  1  416840
2229586  196.033  195.974  27.965  27.822  0.0198  0.0166  1  416550
1225535  198.489  198.418  12.593  12.689  0.0256  0.0243  4275  257537
1948165  200.216  200.231  31.367  31.265  0.0168  0.0182  44181  375164
1949892  200.923  200.928  31.646  31.516  0.0166  0.0176  6313  375730
1936849  205.499  205.353  29.782  29.801  0.0449  0.0373  228  371961
1900733  206.755  206.768  33.894  33.882  0.0165  0.0151  9321  43112
2003943  207.142  207.062  24.891  24.778  0.0297  0.0274  83  386721
1988130  208.546  209.044  24.556  24.494  0.0286  0.0279  83  386742
1989331  208.802  208.952  25.021  25.204  0.0310  0.0367  83  2828
2005153  209.039  208.952  25.195  25.204  0.0290  0.0367  83  2828
-99  209.415  209.416  25.775  25.773  0.0287  0.0287  -99  388326
1283108  209.644  209.684  6.574  6.628  0.0173  0.0244  8612  292771
-99  211.678  211.670  1.915  1.675  0.0472  0.0445  -99  85936
1265849  212.148  212.194  11.951  11.888  0.0194  0.0229  14473  270364
1256635  213.941  213.615  10.439  10.580  0.0258  0.0283  129  14416
1304585  214.037  214.075  10.596  10.894  0.0264  0.0328  129  268372
1304595  214.419  214.294  10.583  10.737  0.0271  0.0325  129  268373
-99  215.127  215.040  10.432  10.268  0.0295  0.0304  -99  14417
1969429  216.336  216.323  25.708  25.291  0.0154  0.0153  220  381101
1969437  216.478  216.516  25.768  25.392  0.0156  0.0166  220  44972
-99  216.564  216.516  25.467  25.392  0.0165  0.0166  -99  44972
1980403  216.811  216.690  25.889  26.249  0.0159  0.0159  220  385380
1969453  216.858  216.516  25.514  25.392  0.0158  0.0166  220  44972
1418850  217.010  217.118  12.026  12.389  0.0267  0.0204  217  312478
1975759  217.042  217.036  26.936  26.683  0.0147  0.0155  3553  386122
1932695  217.144  217.129  27.336  27.266  0.0135  0.0130  3553  370556
1932694  217.194  217.129  27.251  27.266  0.0147  0.0130  3553  370556
