#M_vir  M_star  M_HI   M_H2   SFR
7.85e+10 1.20e+09 1.36e+08 3.98e+07 6.23e-02
7.88e+10 1.26e+09 5.47e+07 6.17e+07 4.71e-02
7.35e+10 2.18e+08 5.34e+08 6.72e+07 1.90e-02
9.04e+10 9.93e+08 2.13e+08 9.92e+07 1.42e-01
6.80e+10 1.20e+09 4.46e+07 3.69e+07 4.51e-02
1.14e+11 1.22e+09 2.28e+07 2.36e+07 2.11e-02
1.06e+11 6.31e+08 2.81e+08 1.43e+08 9.00e-02
6.87e+10 1.05e+09 7.80e+07 5.62e+07 8.96e-02
7.02e+10 1.07e+09 3.95e+07 5.19e+07 6.56e-02
1.37e+10 1.19e+09 0.00e+00 0.00e+00 0.00e+00
7.54e+10 9.53e+08 1.11e+08 3.64e+07 4.48e-02
1.17e+11 1.59e+08 4.84e+08 1.79e+08 1.16e-01
6.82e+10 9.03e+08 9.28e+07 6.35e+07 8.35e-02
7.28e+10 9.31e+08 1.11e+08 4.22e+07 5.05e-02
5.68e+10 8.29e+08 1.34e+08 5.00e+07 7.25e-02
8.05e+10 2.63e+08 3.51e+08 1.11e+08 4.39e-02
6.88e+10 8.72e+08 9.29e+07 4.19e+07 4.58e-02
9.61e+10 8.39e+08 6.11e+07 3.03e+07 2.99e-02
4.07e+10 5.68e+08 2.47e+08 5.22e+07 6.76e-02
6.56e+10 6.69e+08 1.44e+08 6.68e+07 1.03e-01
5.45e+10 7.14e+08 8.44e+07 6.08e+07 6.79e-02
6.48e+10 7.63e+08 7.62e+07 3.04e+07 3.79e-02
7.39e+10 4.63e+08 2.71e+08 8.30e+07 1.42e-01
8.04e+10 6.34e+08 1.51e+08 8.68e+07 9.04e-02
4.93e+10 6.85e+08 5.97e+07 7.17e+07 4.58e-02
9.52e+10 4.98e+08 1.28e+08 1.22e+08 6.98e-02
1.33e+11 5.17e+08 1.76e+08 9.02e+07 6.59e-02
4.08e+10 4.56e+08 1.85e+08 8.97e+07 1.87e-01
8.23e+10 3.49e+08 2.46e+08 9.52e+07 7.26e-02
5.48e+10 4.52e+08 1.89e+08 8.21e+07 1.31e-01
1.50e+11 5.25e+08 1.19e+08 5.88e+07 3.50e-02
4.33e+10 5.85e+08 7.58e+07 4.74e+07 5.54e-02
6.23e+10 4.01e+08 2.13e+08 5.65e+07 1.08e-01
4.66e+10 5.24e+08 9.74e+07 6.93e+07 5.85e-02
5.33e+10 5.91e+08 8.63e+07 5.46e+07 4.81e-02
5.66e+10 4.54e+08 1.93e+08 5.72e+07 1.05e-01
5.42e+10 5.34e+08 1.25e+08 3.86e+07 6.14e-02
4.58e+10 6.19e+08 6.06e+07 2.91e+07 4.56e-02
5.02e+10 2.62e+08 2.52e+08 7.54e+07 5.55e-02
4.12e+10 6.15e+08 5.64e+07 3.21e+07 4.78e-02
5.05e+10 4.38e+08 1.62e+08 6.26e+07 6.62e-02
7.15e+10 4.58e+08 1.65e+08 2.86e+07 2.18e-02
3.76e+10 5.83e+08 6.20e+07 3.09e+07 4.31e-02
4.98e+10 3.77e+08 1.31e+08 7.01e+07 4.92e-02
8.20e+10 2.73e+08 2.10e+08 8.78e+07 1.03e-01
4.34e+10 2.27e+08 2.13e+08 5.33e+07 5.78e-02
5.11e+10 3.72e+08 1.08e+08 6.11e+07 3.61e-02
5.22e+10 2.51e+08 1.62e+08 7.38e+07 3.43e-02
5.94e+10 4.38e+08 9.69e+07 4.18e+07 5.47e-02
5.85e+10 3.54e+08 1.41e+08 4.13e+07 6.92e-02
4.19e+10 3.19e+08 1.25e+08 5.78e+07 5.24e-02
4.08e+10 4.31e+08 7.57e+07 3.52e+07 4.20e-02
5.25e+10 4.33e+08 9.41e+07 3.65e+07 4.56e-02
3.21e+10 4.59e+08 3.86e+07 2.79e+07 4.18e-02
3.95e+10 3.75e+08 8.99e+07 4.27e+07 5.35e-02
5.03e+10 4.46e+08 3.33e+07 2.89e+07 2.76e-02
3.70e+10 2.81e+08 1.70e+08 1.20e+07 3.04e-03
5.44e+10 3.94e+08 7.57e+07 2.57e+07 3.18e-02
5.50e+10 2.11e+08 1.69e+08 5.65e+07 2.86e-02
4.53e+10 2.73e+08 1.30e+08 3.56e+07 3.78e-02
4.00e+10 4.27e+08 4.35e+07 1.57e+07 1.86e-02
6.78e+10 2.46e+08 2.08e+08 4.02e+07 5.79e-02
5.88e+10 2.89e+08 1.20e+08 3.75e+07 4.64e-02
6.54e+10 3.00e+08 9.95e+07 1.47e+07 7.08e-03
4.22e+10 3.34e+08 5.91e+07 3.22e+07 2.87e-02
3.14e+10 3.82e+08 3.57e+07 1.39e+07 1.25e-02
3.20e+10 3.62e+08 2.88e+07 2.60e+07 2.02e-02
2.88e+10 3.89e+08 2.01e+07 1.65e+07 2.20e-02
4.99e+10 8.00e+07 1.56e+08 2.05e+07 6.97e-03
3.34e+10 3.34e+08 3.42e+07 2.06e+07 2.43e-02
4.98e+10 2.67e+08 9.33e+07 2.21e+07 2.42e-02
3.43e+10 2.95e+08 4.36e+07 2.19e+07 1.75e-02
6.48e+10 8.29e+07 2.14e+08 2.36e+07 3.38e-02
4.51e+10 2.55e+08 9.07e+07 2.66e+07 3.21e-02
3.28e+10 1.04e+08 1.87e+08 2.93e+07 2.91e-02
3.37e+10 2.10e+08 1.10e+08 3.49e+07 4.28e-02
4.24e+10 2.37e+08 1.05e+08 9.32e+06 9.96e-03
3.95e+10 2.48e+08 7.99e+07 2.12e+07 2.25e-02
2.74e+10 3.07e+08 3.34e+07 1.86e+07 1.75e-02
3.70e+10 2.04e+08 8.20e+07 2.24e+07 8.92e-03
4.02e+10 2.38e+08 6.45e+07 3.33e+07 3.15e-02
2.60e+10 3.12e+08 2.36e+07 1.65e+07 1.69e-02
3.44e+10 2.71e+08 5.67e+07 2.00e+07 1.90e-02
3.70e+10 2.46e+08 6.08e+07 2.93e+07 2.91e-02
4.26e+10 1.45e+08 1.23e+08 3.37e+07 3.31e-02
3.62e+10 1.30e+08 1.26e+08 4.36e+07 4.45e-02
3.42e+10 2.20e+08 6.03e+07 1.59e+07 1.10e-02
4.72e+10 3.37e+08 3.92e+06 3.20e+05 1.00e+00
4.73e+10 3.27e+08 3.17e+06 8.03e+06 3.09e-03
4.02e+10 3.38e+08 0.00e+00 0.00e+00 0.00e+00
2.89e+10 1.20e+08 1.18e+08 2.69e+07 1.97e-02
3.21e+10 1.08e+08 1.20e+08 4.79e+07 4.38e-02
3.25e+10 1.84e+08 9.33e+07 3.05e+07 4.25e-02
3.19e+10 2.08e+08 6.60e+07 2.88e+07 3.42e-02
4.90e+10 2.49e+08 1.53e+08 2.36e+07 3.12e-03
3.43e+10 5.63e+07 1.93e+08 1.85e+07 2.51e-02
3.09e+10 1.04e+08 1.66e+08 1.90e+07 2.67e-02
1.84e+10 8.35e+07 1.19e+08 2.77e+07 5.85e-03
2.45e+10 2.20e+08 5.40e+07 2.28e+07 2.84e-02
3.00e+10 1.39e+08 1.25e+08 2.20e+07 2.87e-02
3.71e+10 1.76e+08 9.25e+07 2.68e+07 2.80e-02
3.10e+10 2.03e+08 6.12e+07 2.67e+07 3.34e-02
2.86e+10 1.47e+08 8.64e+07 3.16e+07 1.92e-02
4.49e+10 8.61e+07 1.79e+08 2.70e+07 3.00e-02
4.31e+10 2.34e+08 3.71e+07 1.85e+07 1.96e-02
3.71e+10 1.83e+08 7.61e+07 1.19e+07 1.42e-02
3.79e+10 1.43e+08 1.33e+08 1.93e+07 1.02e-02
3.09e+10 1.98e+08 5.11e+07 8.77e+06 8.38e-03
3.15e+10 1.96e+08 6.48e+07 3.84e+06 2.68e-03
2.29e+10 4.50e+07 1.34e+08 1.89e+07 1.16e-02
2.81e+10 1.28e+08 7.28e+07 3.08e+07 2.38e-02
3.37e+10 1.34e+08 9.37e+07 3.14e+07 3.38e-02
2.51e+10 1.23e+08 1.10e+08 3.47e+06 1.76e-03
5.21e+10 1.39e+08 8.27e+07 2.49e+07 2.74e-02
2.29e+10 2.68e+08 0.00e+00 0.00e+00 0.00e+00
7.11e+10 1.47e+08 7.33e+07 1.55e+07 9.46e-03
2.90e+10 1.47e+08 5.69e+07 3.27e+07 3.14e-02
2.76e+10 1.03e+08 1.13e+08 5.51e+06 4.41e-03
3.27e+10 2.18e+08 2.91e+07 7.98e+06 7.33e-03
2.37e+10 1.21e+08 7.31e+07 2.02e+07 1.37e-02
2.08e+10 1.61e+08 6.65e+07 6.13e+06 6.43e-03
2.10e+10 1.63e+08 5.35e+07 9.71e+06 8.88e-03
3.48e+10 1.26e+08 8.43e+07 2.40e+07 2.63e-02
2.18e+10 8.52e+07 1.15e+08 1.12e+07 1.21e-02
3.03e+10 1.98e+08 2.93e+07 5.25e+06 3.85e-03
2.85e+10 1.64e+07 1.78e+08 6.74e+06 8.37e-03
2.08e+10 1.07e+08 6.93e+07 2.66e+07 2.87e-02
2.39e+10 1.55e+08 3.28e+07 1.56e+07 7.99e-03
3.07e+10 1.34e+08 5.12e+07 1.31e+07 1.48e-02
2.12e+10 1.10e+08 7.56e+07 1.25e+07 1.52e-02
2.22e+10 1.39e+08 5.65e+07 9.75e+06 8.85e-03
1.88e+10 6.74e+07 1.01e+08 1.18e+07 1.25e-02
2.54e+10 8.97e+07 6.89e+07 1.85e+07 2.04e-02
3.59e+10 8.78e+07 6.56e+07 1.28e+07 5.96e-03
3.10e+10 8.74e+07 7.09e+07 1.33e+07 9.75e-03
3.61e+10 1.03e+08 7.09e+07 9.78e+06 1.07e-02
3.07e+09 2.00e+08 0.00e+00 0.00e+00 0.00e+00
3.44e+10 2.42e+07 1.16e+08 5.96e+06 6.48e-03
1.77e+10 1.29e+08 3.36e+07 1.53e+07 1.08e-02
4.17e+10 4.07e+07 1.01e+08 1.50e+07 1.82e-02
3.24e+10 9.60e+07 5.91e+07 1.05e+07 1.27e-02
2.55e+10 1.13e+08 5.96e+07 5.85e+06 5.69e-03
2.41e+10 4.19e+07 1.01e+08 5.47e+06 4.59e-03
2.25e+10 2.95e+07 1.01e+08 1.24e+07 7.77e-03
2.83e+10 1.25e+08 3.73e+07 1.48e+07 1.52e-02
2.51e+10 7.78e+07 7.49e+07 1.03e+07 1.04e-02
2.14e+10 7.90e+07 6.24e+07 1.22e+07 9.81e-03
1.99e+10 1.24e+08 2.95e+07 1.19e+07 9.74e-03
2.38e+10 1.36e+08 2.61e+07 2.85e+06 1.30e-03
3.66e+10 1.09e+08 5.19e+07 1.30e+07 1.40e-02
2.30e+10 1.34e+08 1.70e+07 7.35e+06 2.86e-03
3.91e+10 7.22e+07 6.63e+07 1.21e+07 1.25e-02
2.12e+10 8.17e+07 5.42e+07 1.98e+07 1.73e-02
2.27e+10 6.82e+07 5.17e+07 1.96e+07 1.42e-02
