#M_vir  M_star  M_HI   M_H2   SFR
8.77e+09 1.16e+07 1.39e+07 2.11e+06 3.53e-04
1.19e+10 7.77e+06 2.39e+07 4.28e+05 2.38e-04
7.72e+09 1.00e+07 1.61e+07 1.37e+06 6.84e-04
1.18e+10 1.51e+07 1.09e+07 1.06e+06 3.55e-04
3.29e+10 2.05e+07 7.25e+06 1.24e+06 3.68e-04
2.95e+10 7.38e+06 8.39e+07 1.77e+06 3.11e-04
1.03e+10 1.22e+07 1.65e+07 2.94e+06 2.48e-03
1.34e+10 6.64e+06 2.17e+07 1.49e+05 7.46e-05
1.47e+10 9.64e+06 1.67e+07 6.36e+05 2.91e-04
9.74e+09 1.07e+07 1.45e+07 3.27e+06 2.73e-03
9.79e+09 7.21e+06 1.86e+07 2.75e+06 2.47e-03
5.68e+09 3.53e+07 0.00e+00 0.00e+00 0.00e+00
1.18e+10 7.32e+06 1.82e+07 1.85e+04 9.15e-06
1.49e+10 3.49e+07 0.00e+00 0.00e+00 0.00e+00
1.85e+09 3.41e+07 0.00e+00 0.00e+00 0.00e+00
1.66e+10 1.61e+07 9.75e+06 8.60e+05 6.29e-04
1.15e+10 6.20e+06 1.51e+07 6.96e+05 2.12e-04
1.11e+10 7.42e+06 1.44e+07 9.94e+05 4.17e-04
2.30e+10 3.23e+07 0.00e+00 0.00e+00 0.00e+00
1.23e+10 1.30e+07 1.02e+07 1.16e+06 6.51e-04
3.42e+10 7.55e+06 2.26e+07 5.10e+05 1.20e-04
1.33e+10 9.49e+06 1.48e+07 6.30e+04 1.88e-05
1.04e+10 1.35e+07 1.07e+07 9.70e+05 5.28e-04
1.17e+10 1.77e+07 6.53e+06 1.36e+06 2.32e-04
1.22e+10 1.74e+07 6.86e+06 1.11e+06 4.14e-04
2.04e+10 3.02e+07 0.00e+00 0.00e+00 0.00e+00
8.72e+09 8.25e+06 1.12e+07 1.40e+06 5.90e-04
1.01e+10 6.77e+06 1.38e+07 9.67e+05 6.52e-04
1.31e+10 1.66e+07 8.55e+06 0.00e+00 1.00e+00
1.18e+10 1.13e+07 1.04e+07 6.40e+05 2.57e-04
5.25e+09 2.64e+07 0.00e+00 0.00e+00 0.00e+00
9.85e+09 2.59e+07 0.00e+00 0.00e+00 0.00e+00
1.16e+10 1.07e+07 5.86e+06 2.34e+06 1.04e-03
1.32e+10 2.52e+07 0.00e+00 0.00e+00 0.00e+00
1.63e+10 1.83e+07 3.29e+06 8.31e+04 1.00e+00
1.04e+10 2.50e+07 0.00e+00 0.00e+00 0.00e+00
3.69e+09 2.32e+07 0.00e+00 0.00e+00 0.00e+00
1.09e+10 1.53e+07 2.78e+06 7.35e+04 1.00e+00
8.82e+09 2.24e+07 0.00e+00 0.00e+00 0.00e+00
1.48e+10 1.46e+07 6.34e+06 3.31e+05 1.00e+00
1.17e+10 6.88e+06 8.08e+06 4.33e+05 1.63e-04
1.38e+10 1.06e+07 6.20e+06 1.09e+06 3.53e-04
1.30e+10 8.53e+06 6.19e+06 1.09e+06 2.80e-04
1.27e+10 2.10e+07 0.00e+00 0.00e+00 0.00e+00
8.88e+09 2.10e+07 0.00e+00 0.00e+00 0.00e+00
1.11e+10 1.03e+07 6.47e+06 5.25e+05 1.00e+00
1.52e+10 1.34e+07 5.45e+06 0.00e+00 1.00e+00
1.09e+10 2.04e+07 0.00e+00 0.00e+00 0.00e+00
8.94e+09 6.61e+06 7.89e+06 3.18e+05 1.22e-04
1.26e+10 2.01e+07 0.00e+00 0.00e+00 0.00e+00
9.66e+09 1.01e+07 1.02e+07 0.00e+00 1.00e+00
2.09e+10 1.28e+07 2.50e+06 7.20e+05 1.42e-04
1.13e+10 1.70e+07 5.54e+05 0.00e+00 1.00e+00
9.91e+09 8.82e+06 4.40e+06 1.53e+06 3.61e-04
1.43e+09 1.94e+07 0.00e+00 0.00e+00 0.00e+00
1.20e+10 1.94e+07 0.00e+00 0.00e+00 0.00e+00
1.30e+10 1.25e+07 1.95e+06 1.28e+05 2.02e-05
9.49e+09 1.82e+07 0.00e+00 0.00e+00 0.00e+00
1.23e+10 1.15e+07 2.31e+06 1.53e+05 7.31e-06
7.74e+09 6.91e+06 5.69e+06 2.11e+05 5.51e-05
3.39e+09 1.79e+07 0.00e+00 0.00e+00 0.00e+00
1.03e+10 7.29e+06 5.07e+06 2.06e+05 7.99e-05
3.45e+09 1.71e+07 0.00e+00 0.00e+00 0.00e+00
2.57e+09 1.66e+07 0.00e+00 0.00e+00 0.00e+00
1.05e+10 5.78e+06 6.45e+06 7.10e+05 2.55e-04
8.97e+09 1.63e+07 0.00e+00 0.00e+00 0.00e+00
9.70e+09 1.60e+07 0.00e+00 0.00e+00 0.00e+00
1.20e+10 7.64e+06 3.72e+06 4.50e+05 1.28e-04
7.11e+09 1.54e+07 0.00e+00 0.00e+00 0.00e+00
1.37e+10 1.38e+07 1.47e+06 0.00e+00 1.00e+00
7.22e+09 6.47e+06 5.86e+06 0.00e+00 1.00e+00
3.12e+09 1.46e+07 0.00e+00 0.00e+00 0.00e+00
2.87e+09 1.45e+07 0.00e+00 0.00e+00 0.00e+00
1.32e+10 9.86e+06 3.18e+06 1.24e+05 1.00e+00
6.33e+09 1.42e+07 0.00e+00 0.00e+00 0.00e+00
1.05e+10 1.41e+07 0.00e+00 0.00e+00 0.00e+00
1.33e+10 1.31e+07 8.95e+05 0.00e+00 1.00e+00
1.04e+09 1.39e+07 0.00e+00 0.00e+00 0.00e+00
8.60e+09 1.37e+07 0.00e+00 0.00e+00 0.00e+00
9.31e+09 1.23e+07 0.00e+00 0.00e+00 1.00e+00
5.70e+09 1.27e+07 0.00e+00 0.00e+00 0.00e+00
1.42e+10 1.25e+07 0.00e+00 0.00e+00 0.00e+00
1.66e+10 1.24e+07 0.00e+00 0.00e+00 0.00e+00
4.80e+09 1.22e+07 0.00e+00 0.00e+00 0.00e+00
3.73e+09 1.22e+07 0.00e+00 0.00e+00 0.00e+00
1.66e+10 9.22e+06 1.07e+06 0.00e+00 1.00e+00
4.90e+09 1.21e+07 0.00e+00 0.00e+00 0.00e+00
7.22e+09 1.21e+07 0.00e+00 0.00e+00 0.00e+00
1.16e+10 7.51e+06 1.96e+06 6.09e+05 1.00e+00
7.06e+09 1.18e+07 0.00e+00 0.00e+00 0.00e+00
3.13e+09 1.16e+07 0.00e+00 0.00e+00 0.00e+00
1.23e+10 1.14e+07 0.00e+00 0.00e+00 0.00e+00
4.78e+09 1.12e+07 0.00e+00 0.00e+00 0.00e+00
1.19e+10 1.11e+07 0.00e+00 0.00e+00 0.00e+00
3.04e+09 1.11e+07 0.00e+00 0.00e+00 0.00e+00
8.51e+09 1.10e+07 0.00e+00 0.00e+00 0.00e+00
1.11e+10 1.09e+07 0.00e+00 0.00e+00 0.00e+00
2.26e+09 1.05e+07 0.00e+00 0.00e+00 0.00e+00
2.20e+10 9.82e+06 8.64e+05 0.00e+00 0.00e+00
8.86e+08 9.78e+06 0.00e+00 0.00e+00 0.00e+00
1.98e+09 9.58e+06 0.00e+00 0.00e+00 0.00e+00
9.11e+09 8.99e+06 0.00e+00 0.00e+00 0.00e+00
3.05e+09 8.45e+06 0.00e+00 0.00e+00 0.00e+00
4.98e+09 8.10e+06 0.00e+00 0.00e+00 0.00e+00
7.09e+09 7.99e+06 0.00e+00 0.00e+00 0.00e+00
8.52e+09 7.67e+06 0.00e+00 0.00e+00 0.00e+00
8.00e+09 7.51e+06 0.00e+00 0.00e+00 0.00e+00
1.08e+10 7.26e+06 0.00e+00 0.00e+00 0.00e+00
4.20e+09 7.22e+06 0.00e+00 0.00e+00 0.00e+00
1.10e+10 6.92e+06 1.76e+05 0.00e+00 0.00e+00
9.85e+09 6.89e+06 0.00e+00 0.00e+00 0.00e+00
1.08e+10 6.87e+06 0.00e+00 0.00e+00 0.00e+00
6.60e+09 6.80e+06 0.00e+00 0.00e+00 0.00e+00
7.47e+09 6.35e+06 0.00e+00 0.00e+00 0.00e+00
2.42e+09 6.11e+06 0.00e+00 0.00e+00 0.00e+00
1.26e+10 6.09e+06 2.11e+04 0.00e+00 0.00e+00
1.99e+09 5.95e+06 0.00e+00 0.00e+00 0.00e+00
2.12e+09 5.91e+06 0.00e+00 0.00e+00 0.00e+00
2.34e+09 5.77e+06 0.00e+00 0.00e+00 0.00e+00
1.03e+10 5.71e+06 1.17e+05 4.47e+04 0.00e+00
