name        ra       dec 
CGASS29487  239.47736  9.40994
CGASS10817  330.33722  12.1967
CGASS10827  330.44748  13.20792
CGASS10831  330.84415  12.64934
CGASS10813  330.99182  11.90592
CGASS10836  331.0809  12.96839
CGASS10850  331.41165  12.4226
CGASS10841  332.7987  11.80073
CGASS10885  333.05203  12.20519
CGASS10889  333.15033  14.01777
CGASS10844  333.22122  12.36632
CGASS10872  333.3396  13.43648
CGASS10884  333.62762  13.07915
CGASS10942  333.87616  13.67317
CGASS10943  333.91913  13.60471
CGASS10944  333.93195  13.71454
CGASS10950  333.99796  13.45427
CGASS10949  334.00214  13.14773
CGASS10948  334.15372  13.25401
CGASS10952  334.2415  13.54307
CGASS11016  339.0828  14.31453
CGASS11015  339.2566  14.40484
CGASS11086  343.85175  13.24828
CGASS11087  343.8582  12.9276
CGASS11071  344.36124  13.00165
CGASS11126  345.29617  13.15904
CGASS11120  345.92944  13.92654
CGASS11223  346.5685  13.98231
CGASS11311  348.12177  13.94226
CGASS11298  348.37665  14.06391
CGASS11295  348.39465  13.98678
CGASS11270  349.57065  13.57406
CGASS11349  349.6509  15.29966
CGASS11437  350.56406  14.08073
CGASS11408  350.61417  13.81586
CGASS11514  350.86057  15.41956
CGASS11808  358.2388  15.71246
CGASS11845  359.18533  13.90986
CGASS11824  359.4482  15.61368
CGASS3505  19.44485  13.32348
CGASS4216  28.96662  14.94026
CGASS29596  161.76176  14.26335
CGASS23685  170.79846  13.11772
CGASS24149  183.48438  13.67646
CGASS24426  189.09468  13.60287
CGASS28168  190.22902  8.05645
CGASS35981  208.28484  35.71403
CGASS9483  215.23561  3.87152
CGASS9551  216.8849  4.82163
CGASS9948  221.06145  4.21854
CGASS38717  222.3722  9.07921
CGASS42013  229.01863  6.84763
CGASS11112  345.66794  13.32907
CGASS1977  349.56528  0.26118
CGASS11513  350.66452  15.73483
CGASS11386  351.5471  14.03003
CGASS4054  33.40625  13.72813
CGASS23194  158.3893  11.87138
CGASS11019  339.54413  14.44059
CGASS11340  348.31863  14.90436
CGASS11994  6.49573  14.34799
CGASS4230  29.29084  14.54988
CGASS4037  32.87822  14.30053
CGASS4045  32.88983  13.91716
CGASS4041  32.90393  14.51257
CGASS3981  33.51833  13.19898
CGASS3985  33.55051  13.4369
CGASS51276  118.5187  13.95411
CGASS51336  119.07128  14.60269
CGASS56320  120.92614  10.03327
CGASS51580  121.01604  15.08846
CGASS56312  121.23475  10.43918
CGASS26650  122.26162  6.62621
CGASS19918  129.69577  7.48071
CGASS56486  131.36922  14.57379
CGASS56509  132.68866  11.81083
CGASS19989  133.6068  8.21139
CGASS19949  135.0461  7.7261
CGASS56662  135.72888  13.6607
CGASS56650  135.78418  13.51777
CGASS56632  136.15446  13.55411
CGASS16655  136.16478  5.51205
CGASS20041  138.61545  8.07943
CGASS16756  139.32364  6.69766
CGASS16815  139.63062  6.87317
CGASS14712  139.74193  5.8884
CGASS25844  139.99895  10.10883
CGASS16841  142.90205  6.95239
CGASS20165  143.1332  9.8326
CGASS14784  144.84697  6.40167
CGASS26056  147.53003  12.74613
CGASS18702  147.71494  8.22798
CGASS18673  148.25748  7.46012
CGASS18681  148.35237  7.8323
CGASS26040  148.40462  12.12926
CGASS5035  150.46954  3.01132
CGASS18798  153.3736  7.90433
CGASS18877  155.10483  7.67717
CGASS18887  155.23145  8.31375
CGASS8724  155.62996  4.58243
CGASS26320  155.66132  12.0883
CGASS23088  156.65042  12.0402
CGASS23026  156.84157  11.07998
CGASS26598  158.45827  12.87836
CGASS26570  159.7746  13.36487
CGASS23227  159.8048  12.19194
CGASS23228  159.83344  11.69116
CGASS26629  160.08652  13.47013
CGASS15211  160.10277  6.86048
CGASS26639  160.19188  13.78331
CGASS15165  160.42654  6.19592
CGASS15151  160.71416  5.85989
CGASS23320  160.87476  12.08774
CGASS23245  160.91283  12.06066
CGASS29594  161.6652  14.11318
CGASS15242  162.57054  6.12259
CGASS8953  163.17381  4.15387
CGASS8945  163.3137  4.3342
CGASS11132  345.4441  13.53856
CGASS11297  348.381  14.32742
CGASS8096  133.22914  3.15234
CGASS20042  138.6836  8.60147
CGASS22822  147.93713  35.62213
CGASS33737  149.71388  32.07308
CGASS55541  158.1958  21.21564
CGASS23419  162.82713  12.75653
CGASS48521  169.41214  26.58502
CGASS24496  169.54129  7.78165
CGASS5872  170.64163  3.24391
CGASS48604  171.94283  26.9596
CGASS29898  172.95416  15.89748
CGASS29871  173.05179  13.49246
CGASS18220  181.40108  10.68703
CGASS50550  190.36674  28.7912
CGASS13074  192.89369  5.86356
CGASS13159  196.35602  3.99159
CGASS51025  199.44  26.48633
CGASS51161  201.3449  27.24909
CGASS44892  209.03877  25.19546
CGASS42191  223.51558  30.84625
CGASS41743  225.51709  6.82303
CGASS41869  227.33958  7.07773
CGASS28365  235.34412  28.22975
CGASS31592  118.63245  16.8073
CGASS36169  118.63381  16.8042
CGASS31775  119.17437  17.99118
CGASS17135  121.92248  25.9253
CGASS32257  127.43484  22.42441
CGASS32568  134.74075  28.90168
CGASS32619  136.2499  28.34773
CGASS25852  139.51881  10.8857
CGASS22436  139.97726  32.93328
CGASS33039  142.6111  27.77556
CGASS8335  143.87408  3.65504
CGASS26151  149.78651  13.05936
CGASS23577  167.45541  12.77148
CGASS48369  167.80421  28.7119
CGASS522  171.07768  0.64373
CGASS12533  172.8168  4.65244
CGASS30332  185.80109  14.38896
CGASS30439  188.54295  15.96822
CGASS13005  192.85686  3.86654
CGASS25327  203.10098  11.10636
CGASS947  204.1997  1.15389
CGASS35649  205.01302  29.1373
CGASS44718  207.64362  29.37289
CGASS44710  207.98705  29.31239
CGASS13666  210.0375  4.08078
CGASS44942  210.52461  26.06089
CGASS31188  210.8  34.6846
CGASS1115  214.56213  0.89111
CGASS1137  215.81119  0.97835
CGASS24973  218.82655  35.11868
CGASS1221  218.85559  0.33433
