#Table1
name,objID,ra,dec,specObjID,z
GASS11834,1237656494576894062,0.199535393267183,14.2775367021539,844463725413951488,0.0361846
GASS11892,1237656495650767088,0.503440061085257,15.0256292212286,845623985327597568,0.03571535
GASS11825,1237656494577025171,0.542471664253924,14.1362214354539,844428541041862656,0.04200882
GASS11903,1237652944249553236,1.24471074125557,15.6717353802755,845667965792708608,0.03733559
GASS124028,1237652942639071352,1.5100598296371,14.4174512573638,845615738990389248,0.01759434
GASS124009,1237656494577483828,1.58171045779767,14.3274397849932,845611066065971200,0.01817357
GASS124012,1237656494577483851,1.62203918697082,14.1823697241211,845608867042715648,0.01776226
GASS11910,1237652944249749727,1.63573625178481,15.6679748280048,845683908711311360,0.03701296
GASS11917,1237656495651356886,1.9277424907358,15.1868840130839,845702325531076608,0.04456108
GASS11956,1237656495651422354,2.08655478462254,15.1560681553075,846772974978623488,0.03950458
GASS12030,1237656495652536487,4.67785889306504,15.1951742164505,847897500193941504,0.03715681
GASS12025,1237653653447639236,4.89398561261498,16.2041821239115,847891178002081792,0.03666465
GASS124006,1237663277929922594,4.94721446368047,0.590757860965205,439202973839550464,0.0177007
GASS124006,1237663277929922594,4.94721446368047,0.590757860965205,439203799882557440,0.01769955
GASS12044,1237653652374028305,5.13605589632766,15.3473554858079,847921964327659520,0.04031184
GASS124007,1237653651837419694,5.81193806179755,14.8095437441513,847851595583481856,0.01768067
GASS124000,1237656494579318872,5.93275064641978,14.3067265976453,847840600467204096,0.01793722
GASS124010,1237653652911226937,5.99747052593665,15.7704309147425,847929111153240064,0.01770679
GASS12005,1237656495116255330,6.08634115297389,14.7756887964819,847841974856738816,0.03089779
GASS124001,1237653651837550662,6.1778981482189,14.8245867652032,847844723635808256,0.01760021
GASS12002,1237653651837616142,6.26670492612863,14.9709325270096,847835102909065216,0.03671551
GASS124004,1237678434327986256,6.3933639217432,0.846863722907941,439270593804658688,0.01786125
GASS124004,1237678434327986256,6.3933639217432,0.846863722907941,439268396190689280,0.0178323
GASS124025,1237653650763939962,6.40209407010121,14.1153348285218,847819159990462464,0.01752605
GASS12062,1237653652911423584,6.48359134459986,15.6375455508966,847956324066027520,0.03650936
GASS11989,1237656494042644696,6.4953695419826,13.9293761449814,847815586577672192,0.04194945
GASS11994,1237656494579515561,6.4957375422934,14.3479446528882,847823832914880512,0.0372522
GASS3163,1237656495653585132,7.19509536022667,15.0915058277902,469594574826792960,0.04220937
GASS124003,1237657191445299439,7.40990738800929,0.410385165313301,440364882181777408,0.01384861
GASS3157,1237653651838206003,7.63723528309993,14.9431788788427,469564888012843008,0.03812014
GASS3151,1237653651301466128,7.92938699437525,14.4864492760029,469545921437263872,0.03814065
GASS27181,1237653651838402681,8.2007264785197,14.7939437431131,470713602718853120,0.04187327
GASS27181,1237653651838402681,8.2007264785197,14.7939437431131,470712229453391872,0.04184882
GASS27181,1237653651838402681,8.2007264785197,14.7939437431131,469543722414008320,0.04183545
GASS27167,1237653651302252632,9.84025171709976,14.4698788863392,470667424354560000,0.03805681
GASS27167,1237653651302252632,9.84025171709976,14.4698788863392,470665773963044864,0.03801489
GASS3189,1237649919500550210,10.0978537863281,14.6137344630321,471839777419716608,0.03844689
GASS3189,1237649919500550210,10.0978537863281,14.6137344630321,471837029580171264,0.03843992
GASS3189,1237649919500550210,10.0978537863281,14.6137344630321,471836754886813696,0.03838872
GASS3189,1237649919500550210,10.0978537863281,14.6137344630321,470654503968860160,0.03842692
GASS3189,1237649919500550210,10.0978537863281,14.6137344630321,470658353383630848,0.03844467
GASS27219,1237649918426874042,10.3554171499842,13.7262024938327,471830706448787456,0.03323801
GASS27219,1237649918426874042,10.3554171499842,13.7262024938327,471830157632497664,0.03324177
GASS27219,1237649918426874042,10.3554171499842,13.7262024938327,471831807084488704,0.03324947
GASS124016,1237666340796891301,10.442149496576,1.17707558067004,4041037921351561216,0.01797402
GASS124016,1237666340796891301,10.442149496576,1.17707558067004,442579298801444864,0.01795317
GASS27207,1237649920038011069,11.6314576230344,14.9849916070821,471784526960420864,0.03916436
GASS27207,1237649920038011069,11.6314576230344,14.9849916070821,471784253022038016,0.03914565
GASS27207,1237649920038011069,11.6314576230344,14.9849916070821,471784528084494336,0.03915642
GASS27204,1237649918964400160,11.8963928616702,14.1551279330061,471767759408097280,0.03866136
GASS27204,1237649918964400160,11.8963928616702,14.1551279330061,471767760347621376,0.03866505
GASS27204,1237649918964400160,11.8963928616702,14.1551279330061,471766111264729088,0.03867495
GASS124002,1237649920575144013,12.2653815120934,15.4855283916284,472982995624552448,0.01825912
GASS3233,1237653650766692372,12.8918858395291,13.914632111683,472947811252463616,0.03922009
GASS124027,1237649919501795401,13.1163069576671,14.5183449456188,472928294921070592,0.01824617
GASS3258,1237679167154290884,13.3206620608358,16.098907461535,473023677554780160,0.03929688
GASS3261,1237649921112735765,13.8858969345654,15.7758248322236,473035497304778752,0.0374556
GASS3305,1237653651841024145,14.2902896619919,14.6518160354376,474087454215792640,0.04942431
GASS3301,1237649918428774596,14.8138239263629,13.5759448420972,474072610808817664,0.04035956
GASS3321,1237649921113456791,15.6183820176256,15.7491572675679,474150676134389760,0.04027951
GASS3284,1237653651304743124,15.7243587838711,14.1945450046033,474034127901845504,0.0396802
GASS3398,1237666091124981795,16.8093602157856,13.9551104819421,475199061427775488,0.03813643
GASS3398,1237666091124981795,16.8093602157856,13.9551104819421,475198785425795072,0.03814734
GASS3435,1237666091125440639,17.1336334864755,15.0230391002043,475258435055675392,0.04135377
GASS3435,1237666091125440639,17.1336334864755,15.0230391002043,475260907832764416,0.04137463
GASS3439,1237666215680671882,17.2748294524699,14.7557756925332,475266956270790656,0.03850687
GASS3439,1237666215680671882,17.2748294524699,14.7557756925332,475266955146717184,0.03854411
GASS3465,1237666214607061205,18.0909185804565,15.0108693216229,475294718939392000,0.02918913
GASS3465,1237666214607061205,18.0909185804565,15.0108693216229,475292518792062976,0.02920199
GASS3634,1237666089515155538,18.4484190721093,15.5082906536069,476367566453893120,0.0453238
GASS101025,1237678617426001986,18.6556992295507,1.18151970726131,782613172140926976,0.0154446
GASS3645,1237666088978219262,18.7573092681808,15.4135215756014,476381035471333376,0.03072711
GASS101021,1237663784205811792,19.2233019535409,0.153142707423041,448250029937813504,0.01895591
GASS3509,1237649918430675108,19.2985527817309,13.3409416872912,476278506012043264,0.04833675
GASS3524,1237649920041287833,19.3170536038482,14.6223802688696,476294998686459904,0.03804831
GASS3519,1237649920041287865,19.3671124489032,14.7044263817745,476287302105065472,0.04272924
GASS3505,1237649918430740640,19.4448685032123,13.3234746989275,476271084308555776,0.04788761
GASS3666,1237649921115095245,19.5127947510618,15.5401188802743,476409897651562496,0.03821565
GASS3504,1237653650769510570,19.5976854577735,13.6245797404327,476268335529486336,0.03799896
GASS3508,1237649920041484373,19.7502069109156,14.6119833292993,476275482355066880,0.0364438
GASS101007,1237679167157239965,20.2888603322103,15.6947177070444,477471752214046720,0.01711179
GASS101004,1237649920041746583,20.3777679610397,14.5049979017383,477444264423352320,0.01403548
GASS3773,1237649954403844196,20.4721766929392,14.8957092097164,477512983900088320,0.03624415
GASS3757,1237653653454258259,20.6166220064799,15.5440443855323,477492917812881408,0.03768188
GASS3777,1237649920041943052,20.8200884333211,14.6589679058398,477524528772179968,0.03962898
GASS101034,1237649919505268858,21.2276467606137,14.2184151778937,477413478097774592,0.01973011
GASS27260,1237649920042139771,21.3486893874483,14.5199919053614,477402757859403776,0.03692823
GASS27260,1237649920042139771,21.3486893874483,14.5199919053614,478605073673381888,0.03696058
GASS27260,1237649920042139771,21.3486893874483,14.5199919053614,478606448297797632,0.03696246
GASS3792,1237649954404630678,22.175150872661,14.6092565378802,477556689487292416,0.03638828
GASS27250,1237653650770821212,22.5257095940375,13.2839135727176,478564391743154176,0.03795416
GASS27250,1237653650770821212,22.5257095940375,13.2839135727176,478564391978035200,0.03794268
GASS27284,1237679167158419633,23.0191201288381,15.5003127226023,478650978283841536,0.04400248
GASS27284,1237679167158419633,23.0191201288381,15.5003127226023,478651528274536448,0.04393553
GASS101037,1237663784208105545,24.404727368767,0.0402123976263415,451581000397383680,0.01640047
GASS3851,1237649921117323417,24.7164495210989,15.049684938177,479757911581550592,0.02774537
GASS3854,1237649921117323295,24.7282058071088,15.021588215063,479759285971085312,0.02790074
GASS3859,1237653652919156841,24.7578989322039,14.969052616819,479779626936199168,0.02848496
GASS3821,1237653651308806260,25.177825246684,13.5512968370681,479672699430397952,0.04469848
GASS3819,1237653651308871769,25.4299379562977,13.6757967604679,479661704314120192,0.04532563
GASS3817,1237653651845939335,25.8581681152353,13.85465901407,479655382122260480,0.04499962
GASS4094,1237649918970363988,25.8611067427184,13.3202815112763,483086407116548096,0.02753818
GASS4111,1237649954406465636,26.5074810561972,14.2392078298416,483127089046775808,0.04406059
GASS4119,1237653651846266997,26.6242016507866,13.9526577083999,483142482209564672,0.0443789
GASS101031,1237649918434017451,26.9798346033068,12.6920088143096,483046274942134272,0.01750982
GASS101030,1237653650772722004,27.015029348111,12.9346206121269,483045450308413440,0.01746826
GASS101000,1237653651309658215,27.2213758819174,13.4239420778729,484223028218062848,0.01554217
GASS101012,1237653650772787408,27.2605535373812,12.9275178442084,483024009831671808,0.01737405
GASS4195,1237649920581501102,27.2754016951993,14.430738804258,484231549433178112,0.04450553
GASS4074,1237649918434148365,27.2984246053663,12.8532567105687,483026208854927360,0.02624274
GASS101024,1237653651309723760,27.3234597266787,13.4666522402609,483043526163064832,0.01663708
GASS101016,1237653650772852748,27.328925907452,13.0478021651734,483027583244462080,0.01781302
GASS101019,1237653651309723856,27.334624194633,13.2985639377061,484223577973876736,0.01705513
GASS101022,1237653651309723779,27.3533653268609,13.3689647433064,484221653828528128,0.01539621
GASS101011,1237649918971019363,27.3896921735493,13.2333636397494,484209834078529536,0.01666071
GASS4065,1237649918434213983,27.4242521027523,12.7495429701714,483016588128184320,0.048972
GASS101017,1237653650772918395,27.4743573028528,12.9760546146057,484219179927365632,0.01564876
GASS101008,1237649918971084821,27.4754741964031,13.1266621927176,484218905049458688,0.01703279
GASS101010,1237649918971084957,27.5652969646621,13.1407992199064,483012464959580160,0.0160721
GASS4203,1237649954406924408,27.6139526142124,14.194473645079,484256013566896128,0.03406392
GASS101001,1237649919507955919,27.6344942066768,13.6617095926559,484200488229693440,0.01735902
GASS101018,1237649918971150356,27.6536960440922,13.1102327510871,484217805537830912,0.01648774
GASS4165,1237653651846725744,27.6936699198054,13.6910022562874,484198289206437888,0.04411232
GASS4163,1237649918971347047,28.185041217255,13.1925615309936,484197464572717056,0.02617838
GASS101026,1237679167160713400,28.5153502906315,14.9096837504047,484248316985501696,0.01700204
GASS4145,1237649918971609134,28.8235200248357,12.9931966061089,484162829956442112,0.0322598
GASS4216,1237679167160910012,28.9665877063683,14.940282039816,484282126968055808,0.04381835
GASS4134,1237649918434869329,29.0269067791087,12.5675827433534,484150460450629632,0.04450634
GASS4137,1237653651310510116,29.216629633485,13.2127754593445,484153209229699072,0.04444101
GASS4136,1237653651310510247,29.2657505217874,13.1670667730357,484152934351792128,0.03233734
GASS4233,1237679167161041117,29.2804745012402,14.9287865434033,484303292566890496,0.04332645
GASS4230,1237653652921057594,29.2907729570726,14.5498693138197,484298344764565504,0.02639316
GASS4223,1237649921119223868,29.3040502096011,14.7354562009374,484293122084333568,0.02603042
GASS3918,1237653651310575752,29.3266555498152,13.1293807258947,480833784011319296,0.03273445
GASS4130,1237653651310575653,29.3334619478011,13.1703796044646,484139465334351872,0.04474419
GASS4132,1237649919508742295,29.4271644404774,13.3885607432203,484146612159932416,0.04429551
GASS3917,1237649919508742339,29.4826614564543,13.3581427355753,480832684499691520,0.0443248
GASS4239,1237649920582484073,29.5676045657891,14.2966205519575,484312638415726592,0.02613903
GASS101033,1237649954407907520,29.8790247645502,13.9437739854451,484312363537819648,0.01525182
GASS3936,1237649920045809682,29.9413176290143,13.7813835872033,480867868871780352,0.04414533
GASS102001,1237679167161499826,30.2671649358127,14.7010192461008,480872541796198400,0.01523461
GASS3957,1237649920046202994,30.857134308174,13.6530042035668,480901678854334464,0.03256103
GASS3960,1237679167161761910,30.9641114724563,14.7594982146797,480904702511310848,0.03207629
GASS3956,1237649920046268526,30.9718062105469,13.6699939531338,480900854220613632,0.03269242
GASS3962,1237653652921843735,30.9964862020935,14.3103705403158,480906076900845568,0.04276264
GASS3966,1237649920583205028,31.232330394916,14.015377745051,480908275924101120,0.03103237
GASS4017,1237670961617895518,31.3230987929127,13.5057211989357,481980299475970048,0.02582658
GASS3880,1237649919509528682,31.332835660997,13.2585141815526,480777159162488832,0.0269651
GASS3972,1237679167161958434,31.4132162975588,14.6521684744058,480913773482240000,0.04288742
GASS3971,1237649921120141460,31.4686653547819,14.4211528507177,480913498604333056,0.04262361
GASS4014,1237649919509790842,31.8346458597732,13.0317746317291,481972328016668672,0.04824278
GASS3977,1237670961081352253,31.9353017424247,14.0815887211333,481990195080620032,0.03242451
GASS3977,1237670961081352253,31.9353017424247,14.0815887211333,480931365668284416,0.03242407
GASS4008,1237649918973051009,32.1244748439349,12.7333592285455,481955285586438144,0.03465885
GASS4030,1237670960544546959,32.4144803202674,13.9831978043826,482001465074804736,0.04913746
GASS4038,1237670458034880693,32.8409761242467,14.5043044828805,482008886778292224,0.04170179
GASS4039,1237670458034749647,32.8810017131578,14.2006317967572,482009436534106112,0.02539334
GASS4041,1237670458034880716,32.9039881816526,14.5125693084028,482011360679454720,0.02625408
GASS4040,1237653652922630216,32.9127946819653,14.1417725764811,482010261167826944,0.02693933
GASS4048,1237649954409283683,33.0807606593949,13.6127086843067,482026478964336640,0.04138773
GASS3987,1237649920047317106,33.4069319708095,13.4615353513818,481906632196909056,0.0419885
GASS4056,1237649920584187987,33.4553794160842,13.8432660014835,482047644563171328,0.03752811
GASS3981,1237653651849216124,33.5183557312192,13.1989838138389,481902509028304896,0.04161249
GASS3985,1237649920047382635,33.5505183035029,13.4368847399755,481906082441095168,0.04112215
GASS4057,1237653652922957896,33.5802684866343,13.9364524754357,482048744074799104,0.03967273
GASS3980,1237653650775539822,33.5985349377468,12.3376245075647,481887940499236864,0.04071172
GASS12069,1237657595682030119,114.775036896687,29.1600793269458,848928842084018176,0.03890886
