#M_vir  M_star  M_HI   M_H2   SFR
4.79e+12 1.08e+11 9.52e+08 8.51e+08 4.11e-01
1.58e+12 1.04e+11 3.21e+08 2.21e+09 2.48e+00
1.90e+13 1.07e+11 0.00e+00 0.00e+00 0.00e+00
1.84e+12 1.05e+11 1.38e+08 1.57e+09 1.64e+00
3.33e+13 1.07e+11 0.00e+00 0.00e+00 0.00e+00
2.35e+12 1.04e+11 7.08e+08 1.86e+09 2.06e+00
3.51e+12 1.03e+11 2.71e+08 2.44e+09 3.42e+00
1.34e+13 1.06e+11 3.02e+08 0.00e+00 0.00e+00
2.88e+12 1.06e+11 0.00e+00 5.37e+08 3.50e-01
2.38e+12 1.04e+11 3.35e+08 1.58e+09 2.85e+00
3.50e+12 1.04e+11 4.92e+08 1.59e+09 2.17e+00
5.73e+12 1.03e+11 1.25e+09 1.46e+09 1.53e+00
1.25e+13 1.04e+11 0.00e+00 0.00e+00 0.00e+00
3.20e+12 1.00e+11 1.24e+09 2.68e+09 3.54e+00
3.75e+12 1.03e+11 3.63e+07 8.94e+08 4.21e-01
1.12e+13 1.03e+11 0.00e+00 0.00e+00 0.00e+00
2.65e+12 1.00e+11 7.29e+08 2.30e+09 3.52e+00
3.34e+12 1.00e+11 4.65e+08 2.01e+09 3.32e+00
2.03e+12 1.00e+11 5.00e+08 1.60e+09 1.74e+00
8.91e+12 1.02e+11 4.02e+08 1.32e+08 0.00e+00
2.53e+13 1.01e+11 0.00e+00 0.00e+00 0.00e+00
2.37e+12 9.79e+10 4.70e+08 1.71e+09 1.24e+00
2.99e+13 9.99e+10 0.00e+00 0.00e+00 0.00e+00
2.86e+13 9.99e+10 0.00e+00 0.00e+00 0.00e+00
4.45e+12 9.75e+10 5.32e+08 2.04e+09 2.12e+00
3.44e+12 9.85e+10 5.50e+07 7.70e+08 3.98e-01
3.02e+12 9.68e+10 4.60e+08 2.00e+09 1.99e+00
1.99e+13 9.93e+10 2.04e+08 1.86e+08 0.00e+00
3.45e+12 9.58e+10 1.03e+09 2.62e+09 2.18e+00
4.12e+12 9.82e+10 6.65e+07 7.63e+08 1.01e+00
2.84e+12 9.86e+10 3.28e+09 8.07e+08 5.64e-03
1.58e+13 9.89e+10 0.00e+00 0.00e+00 0.00e+00
1.02e+12 9.44e+10 1.12e+09 2.83e+09 3.19e+00
1.05e+13 9.83e+10 1.83e+08 1.56e+08 0.00e+00
1.65e+12 9.54e+10 2.42e+08 2.43e+09 4.20e+00
2.18e+12 9.67e+10 2.28e+08 8.58e+08 7.90e-01
1.06e+12 9.07e+10 2.29e+09 4.10e+09 9.07e+00
6.01e+12 9.76e+10 3.71e+08 2.51e+08 0.00e+00
4.63e+12 9.42e+10 1.04e+09 1.94e+09 2.46e+00
2.01e+12 9.44e+10 7.95e+08 1.89e+09 1.97e+00
2.41e+12 9.57e+10 3.98e+08 7.06e+08 5.68e-01
1.49e+13 9.65e+10 0.00e+00 0.00e+00 0.00e+00
1.19e+12 9.26e+10 4.19e+08 3.12e+09 3.45e+00
5.99e+12 9.53e+10 3.26e+06 0.00e+00 0.00e+00
5.86e+12 9.07e+10 8.54e+08 2.33e+09 3.79e+00
6.52e+12 9.40e+10 0.00e+00 0.00e+00 0.00e+00
7.04e+12 9.38e+10 0.00e+00 0.00e+00 0.00e+00
5.64e+12 9.27e+10 3.78e+07 5.06e+08 3.34e-01
1.01e+13 9.29e+10 0.00e+00 0.00e+00 0.00e+00
1.01e+12 8.80e+10 1.39e+09 2.61e+09 6.21e+00
1.26e+12 9.08e+10 2.80e+08 1.22e+09 1.23e+00
9.66e+12 9.27e+10 0.00e+00 0.00e+00 0.00e+00
4.03e+12 8.96e+10 5.51e+08 2.23e+09 2.37e+00
6.47e+12 9.26e+10 0.00e+00 0.00e+00 0.00e+00
4.17e+12 9.03e+10 5.22e+08 1.35e+09 1.79e+00
5.81e+12 9.20e+10 0.00e+00 0.00e+00 0.00e+00
3.58e+12 9.11e+10 0.00e+00 4.96e+08 2.84e-01
8.92e+11 8.60e+10 7.38e+08 3.21e+09 4.48e+00
2.26e+12 8.58e+10 1.86e+09 3.12e+09 4.76e+00
1.49e+12 7.37e+10 1.11e+10 6.32e+09 4.39e+00
1.73e+12 8.91e+10 4.38e+07 5.49e+08 3.45e-01
1.40e+13 8.94e+10 0.00e+00 0.00e+00 0.00e+00
3.98e+12 8.55e+10 1.99e+09 2.37e+09 2.87e+00
4.74e+12 8.82e+10 6.18e+08 8.31e+07 1.00e+00
1.85e+13 8.83e+10 3.03e+08 3.01e+07 0.00e+00
1.18e+12 8.46e+10 2.82e+08 2.57e+09 4.00e+00
1.19e+13 8.58e+10 1.19e+09 1.51e+09 7.04e-01
1.28e+12 8.47e+10 1.61e+08 1.94e+09 1.36e+00
1.90e+12 7.91e+10 1.99e+09 5.20e+09 1.03e+01
2.68e+12 8.45e+10 1.30e+08 1.21e+09 1.37e+00
2.10e+12 8.29e+10 1.12e+09 2.54e+09 2.75e+00
4.91e+13 8.58e+10 3.15e+08 2.93e+08 0.00e+00
1.91e+12 8.22e+10 9.17e+08 2.00e+09 2.41e+00
1.83e+13 8.42e+10 0.00e+00 7.51e+08 7.91e-01
1.41e+12 8.20e+10 3.88e+08 1.54e+09 1.58e+00
1.31e+12 7.47e+10 3.48e+09 5.79e+09 1.03e+01
3.90e+12 8.38e+10 9.65e+08 8.23e+07 1.00e+00
1.17e+12 7.95e+10 1.32e+09 2.77e+09 5.74e+00
2.78e+12 8.04e+10 9.84e+08 2.53e+09 2.86e+00
3.33e+12 8.27e+10 1.91e+08 3.52e+08 1.62e-02
1.66e+12 7.81e+10 1.48e+09 3.29e+09 4.68e+00
1.17e+13 8.31e+10 2.15e+08 2.98e+07 0.00e+00
1.96e+12 8.25e+10 2.86e+08 2.34e+08 8.28e-03
8.24e+11 6.59e+10 9.00e+09 9.61e+09 5.50e+00
1.49e+12 8.08e+10 1.31e+08 1.20e+09 1.74e+00
4.91e+12 8.09e+10 7.80e+07 1.05e+09 9.57e-01
1.36e+12 7.21e+10 4.02e+09 4.66e+09 1.18e+01
7.58e+12 8.07e+10 6.07e+07 4.77e+08 2.11e-01
1.52e+13 8.11e+10 0.00e+00 0.00e+00 0.00e+00
1.86e+12 8.05e+10 4.31e+08 0.00e+00 1.00e+00
3.62e+12 7.82e+10 6.21e+08 2.04e+09 2.55e+00
1.00e+12 7.68e+10 7.30e+08 2.79e+09 4.17e+00
3.35e+12 7.66e+10 1.49e+09 2.97e+09 5.72e+00
3.13e+13 8.00e+10 8.53e+08 7.11e+07 0.00e+00
2.27e+12 7.67e+10 5.56e+08 2.04e+09 2.81e+00
1.34e+12 7.88e+10 4.87e+06 9.61e+08 4.55e-01
1.05e+13 7.98e+10 0.00e+00 0.00e+00 0.00e+00
1.29e+13 7.94e+10 0.00e+00 0.00e+00 0.00e+00
6.42e+12 7.92e+10 3.46e+08 0.00e+00 0.00e+00
3.98e+12 7.85e+10 0.00e+00 6.51e+08 2.55e-01
4.90e+12 7.86e+10 1.18e+08 1.09e+08 0.00e+00
1.11e+12 7.36e+10 1.37e+09 3.13e+09 3.84e+00
1.55e+13 7.79e+10 5.04e+08 6.71e+08 1.91e-01
4.40e+12 7.75e+10 1.91e+08 6.78e+08 4.63e-01
2.32e+12 7.73e+10 4.31e+07 3.98e+08 9.39e-02
1.07e+12 7.11e+10 1.33e+09 4.46e+09 1.02e+01
2.99e+12 7.67e+10 5.77e+06 9.23e+08 8.55e-01
1.45e+12 7.28e+10 6.56e+08 3.00e+09 3.64e+00
9.08e+11 7.08e+10 1.29e+09 4.49e+09 2.25e+00
1.53e+12 7.62e+10 7.91e+08 0.00e+00 1.00e+00
1.07e+12 5.52e+10 9.13e+09 1.44e+10 4.49e+00
1.13e+12 7.32e+10 4.57e+08 2.03e+09 2.98e+00
3.63e+12 7.39e+10 2.09e+08 1.61e+09 1.64e+00
6.69e+12 7.52e+10 2.11e+09 9.62e+08 1.26e-01
1.14e+12 6.55e+10 4.23e+09 5.54e+09 1.60e+01
2.47e+12 7.48e+10 4.14e+08 0.00e+00 1.00e+00
1.36e+12 7.16e+10 3.17e+08 3.04e+09 3.59e+00
1.40e+12 7.19e+10 4.77e+08 2.06e+09 2.60e+00
9.80e+11 7.04e+10 1.05e+09 2.77e+09 5.04e+00
1.48e+12 7.16e+10 7.78e+08 1.82e+09 2.21e+00
1.89e+12 7.16e+10 5.21e+08 1.86e+09 1.37e+00
4.11e+12 7.12e+10 8.74e+08 2.33e+09 3.04e+00
4.71e+12 7.34e+10 0.00e+00 0.00e+00 1.00e+00
2.33e+12 7.10e+10 1.70e+08 2.28e+09 2.71e+00
1.27e+12 7.05e+10 6.19e+08 1.71e+09 1.99e+00
1.32e+13 7.31e+10 3.46e+08 1.66e+08 0.00e+00
3.66e+12 7.16e+10 3.90e+09 2.64e+09 7.73e-01
3.87e+12 7.27e+10 0.00e+00 0.00e+00 1.00e+00
7.43e+12 7.20e+10 1.37e+08 3.86e+08 1.32e-01
5.89e+12 7.25e+10 2.36e+08 6.04e+07 0.00e+00
8.25e+11 6.51e+10 2.90e+09 3.99e+09 4.72e+00
1.84e+13 7.21e+10 0.00e+00 0.00e+00 0.00e+00
2.68e+12 7.14e+10 4.57e+08 1.54e+08 8.35e-03
1.37e+12 7.04e+10 2.20e+08 8.65e+08 8.16e-01
4.83e+12 7.11e+10 7.12e+08 9.78e+08 2.85e-01
1.02e+13 7.15e+10 4.58e+08 8.69e+07 0.00e+00
1.13e+12 6.46e+10 1.96e+09 4.46e+09 1.18e+01
3.40e+12 6.65e+10 9.98e+08 3.37e+09 3.99e+00
1.46e+12 6.40e+10 2.01e+09 4.43e+09 6.31e+00
5.33e+12 6.33e+10 3.05e+09 4.40e+09 6.16e+00
8.37e+12 7.04e+10 0.00e+00 0.00e+00 0.00e+00
3.01e+12 6.95e+10 0.00e+00 6.29e+08 2.38e-01
4.33e+12 6.50e+10 1.41e+09 2.90e+09 4.80e+00
1.52e+12 6.65e+10 6.83e+08 2.14e+09 2.61e+00
4.55e+12 6.95e+10 0.00e+00 0.00e+00 1.00e+00
3.71e+13 6.97e+10 0.00e+00 0.00e+00 0.00e+00
2.14e+13 6.95e+10 0.00e+00 0.00e+00 0.00e+00
1.41e+12 6.85e+10 0.00e+00 8.98e+08 1.18e+00
1.24e+12 6.63e+10 5.69e+08 2.09e+09 2.73e+00
1.47e+12 6.39e+10 1.30e+09 3.53e+09 6.62e+00
4.81e+12 6.88e+10 0.00e+00 4.94e+08 2.25e-01
3.82e+12 6.87e+10 4.08e+05 5.18e+08 2.12e-01
1.44e+12 6.74e+10 1.24e+08 1.41e+09 1.11e+00
7.75e+11 6.45e+10 1.27e+09 2.95e+09 4.57e+00
1.12e+13 6.64e+10 1.06e+09 1.96e+09 2.43e+00
2.37e+12 6.61e+10 4.91e+08 2.28e+09 2.97e+00
5.42e+12 6.87e+10 0.00e+00 0.00e+00 1.00e+00
1.12e+12 6.42e+10 9.85e+08 2.70e+09 3.23e+00
3.60e+12 6.77e+10 1.59e+08 4.34e+08 3.73e-02
1.30e+12 6.47e+10 3.76e+08 2.21e+09 1.56e+00
2.17e+12 6.77e+10 0.00e+00 0.00e+00 0.00e+00
1.32e+12 6.42e+10 9.18e+08 2.09e+09 3.18e+00
2.40e+12 6.72e+10 2.12e+09 4.02e+08 1.00e+00
2.33e+12 4.63e+10 1.14e+10 1.31e+10 7.25e+00
1.73e+12 6.65e+10 1.08e+08 5.76e+08 1.12e-01
9.31e+11 5.88e+10 4.19e+09 4.48e+09 1.13e+01
2.09e+12 6.70e+10 0.00e+00 0.00e+00 0.00e+00
2.37e+12 6.63e+10 3.21e+07 5.15e+08 1.19e-01
1.29e+12 6.39e+10 5.89e+08 1.96e+09 3.27e+00
1.50e+12 6.59e+10 2.90e+06 8.32e+08 3.28e-01
1.57e+12 6.21e+10 1.21e+09 3.03e+09 5.29e+00
7.32e+12 6.64e+10 0.00e+00 0.00e+00 0.00e+00
1.06e+12 5.99e+10 2.73e+09 3.68e+09 5.18e+00
1.41e+12 6.56e+10 2.25e+08 2.88e+08 2.03e-02
7.26e+11 6.07e+10 7.43e+08 3.94e+09 3.96e+00
1.14e+12 4.97e+10 7.92e+09 1.08e+10 1.53e+01
3.47e+12 6.19e+10 4.01e+08 3.05e+09 2.77e+00
1.59e+12 5.88e+10 2.65e+09 4.02e+09 3.17e+00
1.39e+12 6.46e+10 5.97e+07 8.83e+08 5.66e-01
6.11e+12 5.94e+10 1.87e+09 3.98e+09 8.61e+00
1.38e+12 5.09e+10 7.61e+09 8.51e+09 1.04e+01
3.56e+12 6.51e+10 0.00e+00 0.00e+00 0.00e+00
6.96e+12 6.49e+10 0.00e+00 0.00e+00 0.00e+00
5.90e+12 6.25e+10 1.28e+09 1.82e+09 1.48e+00
2.22e+12 6.35e+10 7.34e+07 8.79e+08 8.09e-01
1.13e+12 5.68e+10 1.88e+09 5.00e+09 8.04e+00
3.90e+12 6.29e+10 8.87e+07 7.29e+08 7.04e-01
1.37e+12 6.15e+10 1.57e+08 1.83e+09 1.64e+00
1.29e+12 5.86e+10 6.34e+08 4.01e+09 4.40e+00
2.27e+12 6.06e+10 3.53e+08 2.13e+09 2.02e+00
7.85e+11 5.84e+10 8.47e+08 3.33e+09 2.57e+00
8.61e+11 5.91e+10 5.61e+08 3.14e+09 2.82e+00
1.06e+12 5.70e+10 1.47e+09 4.09e+09 4.38e+00
3.26e+12 6.28e+10 3.06e+07 0.00e+00 1.00e+00
1.30e+12 5.53e+10 4.60e+09 2.44e+09 5.75e+00
1.48e+12 6.16e+10 1.67e+07 9.84e+08 7.14e-01
6.01e+12 6.26e+10 0.00e+00 0.00e+00 0.00e+00
2.21e+12 6.18e+10 1.12e+08 3.48e+08 5.18e-02
6.36e+12 6.18e+10 1.34e+08 4.58e+08 1.00e-01
1.86e+12 5.77e+10 1.18e+09 2.73e+09 3.86e+00
1.60e+12 5.23e+10 4.58e+09 4.23e+09 3.91e+00
4.45e+12 6.07e+10 6.37e+07 6.73e+08 7.78e-01
2.34e+12 5.69e+10 1.75e+09 2.89e+09 4.51e+00
4.61e+12 6.06e+10 3.85e+08 7.81e+08 4.33e-01
4.29e+12 6.12e+10 0.00e+00 0.00e+00 0.00e+00
1.54e+12 6.06e+10 4.86e+07 5.06e+08 1.04e-01
3.67e+12 5.27e+10 4.00e+09 4.23e+09 9.03e+00
1.55e+12 5.78e+10 1.22e+09 2.24e+09 3.61e+00
1.18e+12 4.93e+10 6.61e+09 5.67e+09 8.08e+00
1.97e+12 5.92e+10 1.58e+08 1.34e+09 5.55e-01
9.86e+11 5.38e+10 1.75e+09 4.55e+09 5.48e+00
9.46e+11 5.68e+10 4.09e+08 2.91e+09 2.55e+00
9.16e+11 5.57e+10 8.04e+08 3.39e+09 3.80e+00
1.97e+12 6.00e+10 1.02e+09 6.79e+07 1.00e+00
1.23e+12 4.70e+10 9.16e+09 5.84e+09 1.47e+01
1.25e+12 5.74e+10 2.99e+08 1.76e+09 1.54e+00
1.08e+13 5.95e+10 0.00e+00 0.00e+00 0.00e+00
9.62e+11 4.87e+10 7.74e+09 3.88e+09 9.62e+00
1.05e+13 5.91e+10 0.00e+00 0.00e+00 0.00e+00
1.27e+12 4.94e+10 5.39e+09 4.13e+09 8.29e+00
8.13e+11 5.45e+10 1.27e+09 2.88e+09 3.92e+00
2.90e+12 5.57e+10 6.51e+08 1.87e+09 1.98e+00
9.14e+11 5.53e+10 5.62e+08 2.58e+09 3.06e+00
1.38e+12 5.06e+10 3.29e+09 4.77e+09 1.06e+01
1.32e+13 5.85e+10 1.46e+08 5.97e+07 0.00e+00
1.23e+12 5.51e+10 2.56e+08 2.64e+09 3.08e+00
2.59e+12 5.79e+10 1.55e+08 9.29e+07 0.00e+00
6.39e+12 5.78e+10 0.00e+00 0.00e+00 0.00e+00
1.33e+12 4.71e+10 2.81e+09 7.77e+09 1.70e+00
1.18e+13 5.34e+10 2.57e+09 2.37e+09 3.32e+00
4.67e+12 5.76e+10 0.00e+00 0.00e+00 0.00e+00
1.42e+12 5.51e+10 4.54e+08 1.43e+09 8.31e-01
2.52e+12 5.72e+10 0.00e+00 0.00e+00 0.00e+00
1.19e+12 4.68e+10 7.44e+09 4.55e+09 1.43e+01
6.70e+11 3.76e+10 7.12e+09 1.36e+10 4.15e+00
3.94e+12 5.60e+10 3.18e+07 5.04e+08 2.09e-01
1.34e+12 5.48e+10 2.81e+08 1.24e+09 1.02e+00
1.03e+12 4.69e+10 4.55e+09 5.19e+09 1.01e+01
8.15e+11 5.19e+10 1.15e+09 2.67e+09 3.65e+00
1.12e+12 4.70e+10 3.99e+09 5.60e+09 8.71e+00
1.55e+12 4.96e+10 2.68e+09 3.78e+09 7.38e+00
2.05e+12 4.37e+10 5.41e+09 7.51e+09 2.37e+00
7.43e+12 5.15e+10 1.80e+09 2.71e+09 4.70e+00
3.18e+12 5.52e+10 0.00e+00 0.00e+00 0.00e+00
4.05e+12 5.52e+10 0.00e+00 0.00e+00 0.00e+00
3.59e+12 5.51e+10 2.91e+08 6.08e+07 0.00e+00
7.53e+11 5.15e+10 9.65e+08 2.13e+09 2.49e+00
1.42e+12 5.37e+10 1.33e+08 1.03e+09 4.40e-01
1.42e+12 5.09e+10 1.86e+09 2.03e+09 3.63e+00
1.51e+12 5.44e+10 7.42e+07 3.57e+08 5.28e-02
2.67e+12 5.43e+10 1.42e+09 8.52e+08 1.39e-01
1.50e+12 5.38e+10 6.81e+08 8.18e+08 5.43e-01
1.38e+12 4.25e+10 4.76e+09 8.97e+09 3.67e+00
5.71e+12 5.38e+10 6.24e+08 6.53e+08 1.43e-01
8.24e+11 4.95e+10 1.72e+09 3.33e+09 7.88e+00
7.42e+11 4.76e+10 2.70e+09 3.99e+09 5.20e+00
1.49e+12 5.30e+10 6.57e+07 1.17e+09 3.18e-01
9.73e+11 4.87e+10 1.09e+09 4.42e+09 4.33e+00
1.97e+12 5.19e+10 3.20e+08 1.64e+09 1.56e+00
5.48e+12 5.34e+10 0.00e+00 5.16e+08 2.75e-01
7.01e+11 4.98e+10 1.02e+09 2.43e+09 3.93e+00
2.04e+12 5.27e+10 9.20e+07 7.60e+08 1.58e-01
1.46e+13 5.35e+10 0.00e+00 0.00e+00 0.00e+00
7.68e+12 5.30e+10 2.82e+08 1.17e+08 1.00e+00
1.51e+12 5.23e+10 1.73e+06 6.35e+08 2.45e-01
7.35e+11 5.07e+10 4.43e+08 1.53e+09 1.94e+00
2.58e+12 5.20e+10 7.97e+06 8.29e+08 8.07e-01
4.15e+12 5.08e+10 1.02e+09 1.20e+09 1.57e+00
1.76e+12 5.22e+10 3.48e+08 0.00e+00 1.00e+00
3.88e+12 5.15e+10 4.23e+08 1.02e+09 6.65e-01
1.72e+12 5.13e+10 3.84e+08 1.07e+09 4.79e-01
8.31e+11 4.77e+10 1.01e+09 3.08e+09 4.14e+00
1.06e+12 3.44e+10 1.27e+10 1.00e+10 1.08e+01
2.19e+12 5.00e+10 3.47e+08 1.95e+09 1.10e+00
1.04e+12 4.44e+10 3.41e+09 4.40e+09 8.61e+00
2.49e+12 4.75e+10 1.74e+09 3.56e+09 8.75e-01
1.38e+12 5.10e+10 7.18e+05 4.72e+08 1.28e-01
7.28e+11 4.69e+10 1.30e+09 3.12e+09 3.13e+00
3.20e+12 4.56e+10 2.10e+09 3.22e+09 3.27e+00
1.19e+13 5.12e+10 0.00e+00 0.00e+00 0.00e+00
1.28e+12 3.15e+10 4.61e+09 1.53e+10 4.41e+00
2.54e+13 4.63e+10 1.71e+09 2.75e+09 3.56e+00
2.87e+12 4.75e+10 6.77e+08 2.05e+09 2.64e+00
1.01e+12 4.79e+10 4.95e+08 1.99e+09 2.39e+00
6.22e+12 5.03e+10 0.00e+00 0.00e+00 0.00e+00
1.57e+12 4.97e+10 4.68e+08 0.00e+00 1.00e+00
1.44e+12 4.73e+10 1.01e+09 2.57e+09 1.67e+00
9.07e+11 4.33e+10 2.27e+09 4.42e+09 8.27e+00
1.36e+12 4.71e+10 6.27e+08 2.06e+09 1.85e+00
9.78e+11 4.25e+10 5.45e+09 3.64e+09 7.62e+00
9.50e+11 4.51e+10 1.13e+09 2.86e+09 4.13e+00
1.02e+12 4.39e+10 2.64e+09 2.83e+09 7.18e+00
1.25e+12 3.14e+10 1.41e+10 9.69e+09 1.39e+00
1.22e+12 4.18e+10 3.97e+09 4.15e+09 7.81e+00
1.52e+12 4.80e+10 1.63e+08 1.24e+09 8.40e-01
1.94e+12 4.83e+10 4.63e+07 8.11e+08 3.23e-01
8.29e+11 4.53e+10 5.68e+08 2.99e+09 3.67e+00
1.28e+12 4.32e+10 1.66e+09 4.38e+09 3.49e+00
1.51e+12 4.68e+10 3.81e+08 1.64e+09 1.06e+00
6.85e+11 4.51e+10 1.40e+09 2.26e+09 3.77e+00
7.55e+11 4.21e+10 1.74e+09 5.12e+09 5.81e+00
8.02e+11 3.60e+10 7.67e+09 7.77e+09 3.31e+00
7.19e+11 4.54e+10 8.49e+08 1.98e+09 2.32e+00
1.64e+12 4.77e+10 3.47e+08 5.99e+08 2.83e-01
6.84e+11 4.20e+10 2.87e+09 3.32e+09 4.82e+00
9.69e+11 4.43e+10 1.10e+09 2.66e+09 2.77e+00
5.68e+11 4.51e+10 5.93e+08 2.28e+09 2.35e+00
1.32e+12 4.75e+10 2.96e+07 5.73e+08 3.44e-01
